,Year,Irrigated area: Total,Irrigated area: Rice,Irrigated area: Wheat,Irrigated area: Maize,Irrigated area: Vegetables and fruits,Irrigated area: Others,Industrial gross value added (GVA): Total,Industrial gross value added (GVA): Textile,Industrial gross value added (GVA): Papermaking,Industrial gross value added (GVA): Petrochemicals,Industrial gross value added (GVA): Metallurgy,Industrial gross value added (GVA): Mining,Industrial gross value added (GVA): Food,Industrial gross value added (GVA): Cements,Industrial gross value added (GVA): Machinery,Industrial gross value added (GVA): Electronics,Industrial gross value added (GVA): Thermal electrivity,Industrial gross value added (GVA): Others,Urban population,Service GVA,Rural population,Livestock population,Total water use,Basin,Index
13,1978,2020.412508681628,61.50706962931909,306.2522675390203,536.0567236785272,71.20628383935006,1045.3901639954117,26.747947006819157,3.541736657849162,1.0645134828720286,2.2701045660640644,2.1757893941194357,4.378630335811207,1.7561511562626777,0.9100309783190091,1.1768378380331688,0.3285336340094189,0.558125508163374,8.587493455315613,30.98308975377015,10.106025045053816,52.58001823191297,7471.683063902885,19.457563677163538,songhuajiang,7
14,1979,1935.9738255361312,59.10441051584971,269.6774101000656,508.54294746531593,73.9214059844897,1024.7276514704106,26.284053069310303,3.295388059731488,1.023561139580924,2.3481941905244197,2.1769615707141767,4.513771651531462,1.841148494263202,0.9224721540523702,1.2620521507752096,0.33125216452744877,0.5937864776946487,7.975465015914951,31.66684493245299,10.365688276660018,52.16251424252414,7690.817010211795,19.033949635831146,songhuajiang,7
15,1980,2110.344309602611,68.15563387051398,293.0470585682059,573.102419283591,79.00915181446034,1097.0300460658395,29.69450173460662,3.59868464622644,1.1586491415996678,2.84215390781235,2.5416035416405895,5.4394813762715035,2.2724730277558747,1.097372851567513,1.5930382926674937,0.3909227624229891,0.7451011128673365,8.015021073774866,30.614561000000002,11.785303456504957,51.8241638,7706.478371287238,20.21627904520155,songhuajiang,7
16,1981,2110.902892416647,70.62882379147327,295.355194260401,515.7807210875845,75.71488169554655,1153.4232715816415,31.21793778262419,3.787144148138575,1.2743626203061214,3.340551205609721,2.857426614581196,6.293875090190288,2.7057623132188806,1.2619745688981987,1.9645596081666847,0.4458989821554235,0.9058876422818563,6.3804949890772455,31.51232,14.103969152480007,51.65086074,7622.293997588661,20.574861236948077,songhuajiang,7
17,1982,2068.137002441399,72.95845560341233,266.4249034056199,487.48645825395994,75.4383113494568,1165.8288738289507,35.17548759365742,4.079757556666623,1.4172537866367052,3.981810409669608,3.2729646650228377,7.5472643358871485,3.284021919301773,1.476786803746846,2.429634122654579,0.5176990514576448,1.1117052193186183,6.056589723295045,32.552226999999995,16.827368241266154,51.55456524000002,7775.933478234787,21.436672008455723,songhuajiang,7
18,1983,2014.277133231175,72.21517797917875,273.2983685213923,516.8841147362155,72.46798327227066,1079.411488722118,36.90052867212667,3.9098165836990186,1.413978029817055,4.304170238489435,3.435984312939206,7.850556230413762,3.5366563984134927,1.5505161290234293,2.740718253873495,0.5415070333155536,1.2334336280356408,6.383191834106579,33.560114999999996,19.191824556995687,50.99721532000002,7794.996565795463,21.07565629821075,songhuajiang,7
19,1984,1981.1081410325812,83.17604084360335,258.4921102025736,585.2125805176171,73.38722965195694,980.84017981683,44.65273164592895,4.635522538417281,1.7294987637764008,5.6820774020311875,4.394817746798904,10.255174496774067,4.706054229597447,2.000530539512086,3.750138505618221,0.6950526097679078,1.6710479383538543,5.307933247319081,34.385799,23.664528382714497,50.12942149999999,7855.147088640549,21.949500745400098,songhuajiang,7
20,1985,2010.5009029715302,101.97174198985081,275.52062018771676,530.4856937224116,72.44042171428133,1030.0824253572696,49.7203661132536,4.186510361610909,1.5939476597427737,5.738675563865065,4.4072298544092385,10.06794557876265,4.718173256989963,1.9648136499141546,3.88068031300181,0.6856483206469531,1.718749478393618,10.757992075916455,35.33896599999999,26.910400136453184,49.45864160000001,8276.645422059555,23.386305616407935,songhuajiang,7
21,1986,2082.176619275088,114.0982368664234,285.2902405735309,592.5444419390935,72.96506513463552,1017.2786347614048,67.93222861800167,5.144889486321295,2.025325981196318,7.819748062245823,5.778911644725429,13.62815369468187,6.519643433759909,2.6243429689136972,5.514526798758627,0.9077344404220602,2.41477817555003,15.554173931426615,36.346219,36.74583793569883,48.84250572000001,8533.905264199353,24.376704795281473,songhuajiang,7
22,1987,2192.2293127906105,130.92705622183578,265.6148679829163,692.1190217375014,79.77958593487064,1023.7887809134862,96.09085580283646,4.470526875970406,2.2790560088003207,9.835595144501992,7.505101866274167,13.846132586404574,10.635958245242577,3.928959218444978,7.008630476961065,0.17629537099344128,3.204975508194188,33.19962450104874,37.477497,51.97588691611956,48.34396936000001,8527.83911574892,25.777503937710335,songhuajiang,7
